Gene,Bacteria,Present,Category
Pectate disaccharide-lyase,R. victoriana,0,PCWDE
Pectate lyase,R. victoriana,0,PCWDE
Rhanmogalacturonan endolyase,R. victoriana,0,PCWDE
Pectin lyase,R. victoriana,0,PCWDE
Cellulase,R. victoriana,1,PCWDE
beta-xylanase,R. victoriana,0,PCWDE
Arabinosidase,R. victoriana,0,PCWDE
beta-galactosidase,R. victoriana,1,PCWDE
beta-xylosidase,R. victoriana,0,PCWDE
beta-glucosidase,R. victoriana,1,PCWDE
alpha-galactosidase,R. victoriana,0,PCWDE
Galactanase,R. victoriana,0,PCWDE
Polyglacturonase,R. victoriana,0,PCWDE
Avicelase,R. victoriana,0,PCWDE
alpha-L-arabinosidase,R. victoriana,0,PCWDE
alpha-glucuronidase,R. victoriana,0,PCWDE
Harpin(HrpN),R. victoriana,0,Harpin
Harpin(HrpW),R. victoriana,0,Harpin
Harpin(HrpA2),R. victoriana,0,Harpin
Harpin(HrpZ1),R. victoriana,0,Harpin
Harpin(HrpK1),R. victoriana,0,Harpin
Harpin(PopW),R. victoriana,0,Harpin
Harpin(HrcR),R. victoriana,0,Harpin
Harpin(HopAK1),R. victoriana,0,Harpin
HopAN1,R. victoriana,0,Effector
HopAC1,R. victoriana,0,Effector
HopAG1,R. victoriana,0,Effector
HopAH1,R. victoriana,0,Effector
HopAI1,R. victoriana,0,Effector
HopJ1,R. victoriana,0,Effector
HopAA1,R. victoriana,0,Effector
HopM1,R. victoriana,0,Effector
HopX1,R. victoriana,0,Effector
HopQ1,R. victoriana,0,Effector
HopF2,R. victoriana,0,Effector
HopV1,R. victoriana,0,Effector
HopR1,R. victoriana,0,Effector
HopZ3,R. victoriana,0,Effector
HopH1,R. victoriana,0,Effector
HopL1,R. victoriana,1,Effector
HopAH2,R. victoriana,0,Effector
HopAJ1,R. victoriana,0,Effector
HopPtoC,R. victoriana,0,Effector
HopAV1,R. victoriana,0,Effector
HopAF1,R. victoriana,1,Effector
HopI1,R. victoriana,0,Effector
HopAE1,R. victoriana,0,Effector
HopAJ2,R. victoriana,1,Effector
HopAB1,R. victoriana,0,Effector
HopE1,R. victoriana,0,Effector
HopAW1,R. victoriana,0,Effector
HopP1,R. victoriana,0,Effector
AvrBs2,R. victoriana,0,Effector
AvrA,R. victoriana,0,Effector
AvrRxv,R. victoriana,0,Effector
AvrRpm1,R. victoriana,0,Effector
AvrXccE1,R. victoriana,0,Effector
AvrRpt2,R. victoriana,0,Effector
AvrBs3,R. victoriana,0,Effector
AvrE1,R. victoriana,0,Effector
AvrB3,R. victoriana,0,Effector
AvrXccB,R. victoriana,0,Effector
DspA/E,R. victoriana,0,Effector
DspF,R. victoriana,0,Effector
Rsc3369,R. victoriana,0,Effector
MxiE,R. victoriana,1,Effector
ExoU,R. victoriana,0,Effector
T2SS,R. victoriana,1,T2SS
T3SS,R. victoriana,2,T3SS
T4SS,R. victoriana,1,T4SS
T6SS,R. victoriana,1,T6SS
Flagella,R. victoriana,1,Flagella
Pili,R. victoriana,1,Pili
Pectate disaccharide-lyase,E.billingiae,0,PCWDE
Pectate lyase,E.billingiae,0,PCWDE
Rhanmogalacturonan endolyase,E.billingiae,0,PCWDE
Pectin lyase,E.billingiae,0,PCWDE
Cellulase,E.billingiae,1,PCWDE
beta-xylanase,E.billingiae,0,PCWDE
